reward episode
0.096290668 9475
0.0953425968888889 18901
0.09632363933333332 28370
0.09639113044444446 37846
0.09682993655555557 47336
0.09736560633333333 56827
0.09747738355555556 66332
0.098059005 75864
0.09829718888888889 85385
0.09881356366666666 94922
0.10024915266666666 104477
0.10040760988888889 114011
0.10144164655555556 123560
0.10245001011111111 133140
0.10354786533333334 142716
0.10291243922222222 152293
0.10382771144444446 161878
0.1048693352222222 171470
0.10480890222222222 181057
0.10563721766666666 190646
0.10550543766666666 200227
0.10606382911111112 209817
0.10672354822222223 219408
0.10676331677777777 228996
0.10709675688888888 238592
0.10760633533333333 248182
0.10749265955555558 257778
0.10826060744444445 267371
0.1085471961111111 276962
0.10923970299999998 286558
0.10948726377777779 296155
0.10944524466666669 305754
0.10975668655555554 315349
0.11044673711111111 324948
0.11076003655555555 334548
0.11094986677777778 344145
0.1110916991111111 353739
0.11160402866666667 363337
0.11155541577777778 372934
0.11237878855555555 382533
0.11233307344444446 392130
0.11357912066666666 401729
0.11301726011111111 411329
0.1138553572222222 420928
0.11445602966666667 430526
0.11414652333333332 440125
0.11537565333333333 449723
0.1155063387777778 459321
0.11583506433333333 468920
0.11626015377777776 478520
0.11662034522222224 488118
0.11756788777777775 497718
0.11777298899999998 507318
0.11839489722222221 516918
0.11892241688888888 526517
0.11879124577777778 536117
0.11927080988888888 545716
0.1200536408888889 555315
0.12097732388888889 564915
0.121256157 574515
0.12136406511111111 584115
0.12171288077777778 593715
0.12219878255555557 603315
0.12233423255555555 612915
0.12315702722222222 622515
0.12391431688888886 632115
0.12421734144444445 641714
0.1253333748888889 651314
0.1260740681111111 660913
0.12685376855555555 670513
0.127947584 680113
0.12847927933333333 689713
0.12868669777777778 699310
0.13004184822222223 708910
0.13062696133333332 718510
0.13133978144444444 728110
0.13256068399999998 737710
0.13239367322222223 747310
0.1341903088888889 756910
0.134073935 766510
0.13542451844444445 776109
0.1355642258888889 785709
0.13679724444444447 795309
0.13771671900000002 804909
0.13731645544444443 814509
0.13884925644444446 824108
0.1405064411111111 833708
0.14005542677777777 843308
0.14082460177777775 852908
0.14164687344444446 862508
0.14203598899999997 872108
0.1431965352222222 881708
0.14414852333333333 891308
0.14438500055555556 900908
0.143089063 910508
0.14556078133333333 920108
0.1457539358888889 929708
0.14631510699999997 939308
0.1480155108888889 948908
0.14789922266666664 958508
0.14977585777777777 968108
0.15026385611111112 977708
0.15064562155555555 987308
0.15067047188888888 996908
0.1520510187777778 1006508
0.1522465871111111 1016108
0.1522869891111111 1025708
0.15371392233333334 1035308
0.1549903668888889 1044908
0.15574744222222223 1054508
0.1560318631111111 1064108
0.15619381877777777 1073708
0.15700004866666667 1083308
0.15759131044444444 1092908
0.15858109122222225 1102508
0.15968786511111113 1112108
0.16054039366666667 1121708
0.16109330555555557 1131308
0.1610529141111111 1140908
0.16141109222222222 1150508
0.16234366444444445 1160108
0.16328752077777778 1169708
0.16445658155555556 1179308
0.163623037 1188908
0.16606882033333334 1198508
0.16723582344444446 1208108
0.165747677 1217708
0.16762841166666667 1227308
